post_id,text,label,hashtags
38,Who else loves morning hikes? 🚬,Non-drug,"#relax, #life"
39,"Stocked up on ganja, get yours now! 🚬",Drug-related,"#ganja, #exclusive"
40,Loving the weekend vibes! 🍃,Non-drug,"#relax, #life"
41,"Stocked up on coke, get yours now! 💊",Drug-related,"#coke, #exclusive"
42,Exploring nature and living life to the fullest 🔥,Non-drug,"#relax, #life"
43,Anyone interested in some premium exclusive? 💊,Drug-related,"#exclusive, #exclusive"
44,Nothing better than a good book and coffee 🍁,Non-drug,"#relax, #life"
45,Ready to serve weed to my loyal clients 🚬,Drug-related,"#weed, #exclusive"
46,Loving the weekend vibes! 💰,Non-drug,"#relax, #life"
47,Looking for some dope? DM me for details 💊,Drug-related,"#dope, #exclusive"
48,Loving the weekend vibes! 🔥,Non-drug,"#relax, #life"
49,Looking for some exclusive? DM me for details 🌿,Drug-related,"#exclusive, #exclusive"
50,Who else loves morning hikes? 💊,Non-drug,"#relax, #life"
51,Fresh 420 in town! Hit me up 🍃,Drug-related,"#420, #exclusive"
52,"Best coffee in town, anyone else a fan? 🍃",Non-drug,"#relax, #life"
53,Ready to serve stash to my loyal clients 🔥,Drug-related,"#stash, #exclusive"
54,Excited for the new restaurant opening! 💸,Non-drug,"#relax, #life"
55,"🌿 Only the best product here, DM for info!",Drug-related,"#product, #exclusive"
56,Excited for the new restaurant opening! 💰,Non-drug,"#relax, #life"
57,"🔥 Quality goods available, contact for more!",Drug-related,"#goods, #exclusive"
58,Check out my latest travel post! 🍃,Non-drug,"#relax, #life"
59,"💊 Quality dope available, contact for more!",Drug-related,"#dope, #exclusive"
60,"Best coffee in town, anyone else a fan? 💸",Non-drug,"#relax, #life"
61,"💊 Only the best goods here, DM for info!",Drug-related,"#goods, #exclusive"
62,"Best coffee in town, anyone else a fan? 🍁",Non-drug,"#relax, #life"
63,Ready to serve ganja to my loyal clients 💸,Drug-related,"#ganja, #exclusive"
64,"Best coffee in town, anyone else a fan? 💰",Non-drug,"#relax, #life"
65,"Limited herb available, get it before it's gone 🌿",Drug-related,"#herb, #exclusive"
66,Exploring nature and living life to the fullest 🚬,Non-drug,"#relax, #life"
67,"🍃 Quality herb available, contact for more!",Drug-related,"#herb, #exclusive"
68,"Best coffee in town, anyone else a fan? 🌿",Non-drug,"#relax, #life"
69,Fresh herb in town! Hit me up 🍃,Drug-related,"#herb, #exclusive"
70,"Best coffee in town, anyone else a fan? 🔥",Non-drug,"#relax, #life"
71,Fresh coke in town! Hit me up 🍁,Drug-related,"#coke, #exclusive"
72,"Best coffee in town, anyone else a fan? 🚬",Non-drug,"#relax, #life"
73,Fresh dope in town! Hit me up 🍁,Drug-related,"#dope, #exclusive"
74,Exploring nature and living life to the fullest 🌿,Non-drug,"#relax, #life"
75,Anyone interested in some premium weed? 💰,Drug-related,"#weed, #exclusive"
76,Exploring nature and living life to the fullest 💊,Non-drug,"#relax, #life"
77,Looking for some green? DM me for details 🚬,Drug-related,"#green, #exclusive"
78,Exploring nature and living life to the fullest 💊,Non-drug,"#relax, #life"
79,Anyone interested in some premium powder? 💰,Drug-related,"#powder, #exclusive"
80,Just relaxing and enjoying the day 💸,Non-drug,"#relax, #life"
81,"Limited 420 available, get it before it's gone 💊",Drug-related,"#420, #exclusive"
82,"Best coffee in town, anyone else a fan? 🍃",Non-drug,"#relax, #life"
83,"Limited powder available, get it before it's gone 💸",Drug-related,"#powder, #exclusive"
84,Loving the weekend vibes! 🚬,Non-drug,"#relax, #life"
85,Looking for some stash? DM me for details 🔥,Drug-related,"#stash, #exclusive"
86,Who else loves morning hikes? 🍁,Non-drug,"#relax, #life"
87,Fresh exclusive in town! Hit me up 💸,Drug-related,"#exclusive, #exclusive"
88,Who else loves morning hikes? 🍃,Non-drug,"#relax, #life"
89,Looking for some dope? DM me for details 🍃,Drug-related,"#dope, #exclusive"
90,Loving the weekend vibes! 💊,Non-drug,"#relax, #life"
91,"🚬 Only the best dope here, DM for info!",Drug-related,"#dope, #exclusive"
92,Just relaxing and enjoying the day 🍁,Non-drug,"#relax, #life"
93,Looking for some 420? DM me for details 💰,Drug-related,"#420, #exclusive"
94,Check out my latest travel post! 💸,Non-drug,"#relax, #life"
95,"Limited coke available, get it before it's gone 💊",Drug-related,"#coke, #exclusive"
96,"Best coffee in town, anyone else a fan? 🚬",Non-drug,"#relax, #life"
97,"Stocked up on stash, get yours now! 💰",Drug-related,"#stash, #exclusive"
98,Exploring nature and living life to the fullest 💊,Non-drug,"#relax, #life"
99,Looking for some coke? DM me for details 💰,Drug-related,"#coke, #exclusive"
100,Excited for the new restaurant opening! 💊,Non-drug,"#relax, #life"
101,"🚬 Only the best dope here, DM for info!",Drug-related,"#dope, #exclusive"
102,Loving the weekend vibes! 💊,Non-drug,"#relax, #life"
103,"💰 Only the best exclusive here, DM for info!",Drug-related,"#exclusive, #exclusive"
104,Excited for the new restaurant opening! 🔥,Non-drug,"#relax, #life"
105,Looking for some weed? DM me for details 🚬,Drug-related,"#weed, #exclusive"
106,"Best coffee in town, anyone else a fan? 🚬",Non-drug,"#relax, #life"
107,Fresh coke in town! Hit me up 🔥,Drug-related,"#coke, #exclusive"
108,"Best coffee in town, anyone else a fan? 💰",Non-drug,"#relax, #life"
109,"💸 Only the best exclusive here, DM for info!",Drug-related,"#exclusive, #exclusive"
110,Loving the weekend vibes! 💸,Non-drug,"#relax, #life"
111,Ready to serve stash to my loyal clients 🍁,Drug-related,"#stash, #exclusive"
112,Excited for the new restaurant opening! 🍁,Non-drug,"#relax, #life"
113,"Stocked up on 420, get yours now! 💊",Drug-related,"#420, #exclusive"
114,Exploring nature and living life to the fullest 🚬,Non-drug,"#relax, #life"
115,"Stocked up on green, get yours now! 🌿",Drug-related,"#green, #exclusive"
116,Who else loves morning hikes? 🌿,Non-drug,"#relax, #life"
117,Looking for some goods? DM me for details 🌿,Drug-related,"#goods, #exclusive"
118,Who else loves morning hikes? 🚬,Non-drug,"#relax, #life"
119,"💰 Quality stash available, contact for more!",Drug-related,"#stash, #exclusive"
120,Exploring nature and living life to the fullest 🍁,Non-drug,"#relax, #life"
121,"Stocked up on powder, get yours now! 💸",Drug-related,"#powder, #exclusive"
122,"Best coffee in town, anyone else a fan? 💰",Non-drug,"#relax, #life"
123,Anyone interested in some premium weed? 🚬,Drug-related,"#weed, #exclusive"
124,Nothing better than a good book and coffee 🚬,Non-drug,"#relax, #life"
125,Fresh ganja in town! Hit me up 🍁,Drug-related,"#ganja, #exclusive"
126,Check out my latest travel post! 🔥,Non-drug,"#relax, #life"
127,"Stocked up on powder, get yours now! 🍃",Drug-related,"#powder, #exclusive"
128,Exploring nature and living life to the fullest 🔥,Non-drug,"#relax, #life"
129,"🍁 Quality weed available, contact for more!",Drug-related,"#weed, #exclusive"
130,Who else loves morning hikes? 💊,Non-drug,"#relax, #life"
131,"Limited dope available, get it before it's gone 💰",Drug-related,"#dope, #exclusive"
132,Who else loves morning hikes? 💸,Non-drug,"#relax, #life"
133,"Limited exclusive available, get it before it's gone 💸",Drug-related,"#exclusive, #exclusive"
134,"Best coffee in town, anyone else a fan? 🍁",Non-drug,"#relax, #life"
135,Anyone interested in some premium green? 🚬,Drug-related,"#green, #exclusive"
136,Check out my latest travel post! 🚬,Non-drug,"#relax, #life"
137,Ready to serve coke to my loyal clients 💰,Drug-related,"#coke, #exclusive"
138,Exploring nature and living life to the fullest 🍁,Non-drug,"#relax, #life"
139,Looking for some green? DM me for details 🔥,Drug-related,"#green, #exclusive"
140,Check out my latest travel post! 🍁,Non-drug,"#relax, #life"
141,Anyone interested in some premium stash? 🔥,Drug-related,"#stash, #exclusive"
142,Check out my latest travel post! 🔥,Non-drug,"#relax, #life"
143,"Stocked up on coke, get yours now! 🍁",Drug-related,"#coke, #exclusive"
144,Loving the weekend vibes! 💊,Non-drug,"#relax, #life"
145,"Stocked up on goods, get yours now! 🔥",Drug-related,"#goods, #exclusive"
146,Nothing better than a good book and coffee 🌿,Non-drug,"#relax, #life"
147,"🔥 Quality 420 available, contact for more!",Drug-related,"#420, #exclusive"
148,Excited for the new restaurant opening! 🍃,Non-drug,"#relax, #life"
149,"Stocked up on green, get yours now! 🍁",Drug-related,"#green, #exclusive"
150,"Best coffee in town, anyone else a fan? 🔥",Non-drug,"#relax, #life"
151,"💰 Only the best weed here, DM for info!",Drug-related,"#weed, #exclusive"
152,Nothing better than a good book and coffee 🍃,Non-drug,"#relax, #life"
153,"Stocked up on powder, get yours now! 🍃",Drug-related,"#powder, #exclusive"
154,Who else loves morning hikes? 🌿,Non-drug,"#relax, #life"
155,Fresh coke in town! Hit me up 🍁,Drug-related,"#coke, #exclusive"
156,Excited for the new restaurant opening! 🍁,Non-drug,"#relax, #life"
157,"🍃 Quality exclusive available, contact for more!",Drug-related,"#exclusive, #exclusive"
158,Exploring nature and living life to the fullest 🌿,Non-drug,"#relax, #life"
159,"Stocked up on 420, get yours now! 🍃",Drug-related,"#420, #exclusive"
160,"Best coffee in town, anyone else a fan? 🚬",Non-drug,"#relax, #life"
161,"Limited powder available, get it before it's gone 💸",Drug-related,"#powder, #exclusive"
162,Just relaxing and enjoying the day 🔥,Non-drug,"#relax, #life"
163,"🔥 Only the best dope here, DM for info!",Drug-related,"#dope, #exclusive"
164,Who else loves morning hikes? 🍃,Non-drug,"#relax, #life"
165,Looking for some herb? DM me for details 🚬,Drug-related,"#herb, #exclusive"
166,Excited for the new restaurant opening! 🍁,Non-drug,"#relax, #life"
167,Ready to serve 420 to my loyal clients 💊,Drug-related,"#420, #exclusive"
168,Exploring nature and living life to the fullest 🍃,Non-drug,"#relax, #life"
169,"Stocked up on stash, get yours now! 🚬",Drug-related,"#stash, #exclusive"
170,Who else loves morning hikes? 🚬,Non-drug,"#relax, #life"
171,"Stocked up on ganja, get yours now! 🚬",Drug-related,"#ganja, #exclusive"
172,Excited for the new restaurant opening! 💰,Non-drug,"#relax, #life"
173,Anyone interested in some premium product? 🌿,Drug-related,"#product, #exclusive"
174,Who else loves morning hikes? 💊,Non-drug,"#relax, #life"
175,"🍁 Quality powder available, contact for more!",Drug-related,"#powder, #exclusive"
176,Excited for the new restaurant opening! 💊,Non-drug,"#relax, #life"
177,Ready to serve herb to my loyal clients 🚬,Drug-related,"#herb, #exclusive"
178,Who else loves morning hikes? 🌿,Non-drug,"#relax, #life"
179,"Limited ganja available, get it before it's gone 🚬",Drug-related,"#ganja, #exclusive"
180,Who else loves morning hikes? 🚬,Non-drug,"#relax, #life"
181,"🌿 Only the best exclusive here, DM for info!",Drug-related,"#exclusive, #exclusive"
182,Excited for the new restaurant opening! 💊,Non-drug,"#relax, #life"
183,"Stocked up on powder, get yours now! 🔥",Drug-related,"#powder, #exclusive"
184,Loving the weekend vibes! 🚬,Non-drug,"#relax, #life"
185,Looking for some dope? DM me for details 🍁,Drug-related,"#dope, #exclusive"
186,Loving the weekend vibes! 🍃,Non-drug,"#relax, #life"
187,"Stocked up on powder, get yours now! 💸",Drug-related,"#powder, #exclusive"
188,Nothing better than a good book and coffee 🌿,Non-drug,"#relax, #life"
189,"💰 Quality goods available, contact for more!",Drug-related,"#goods, #exclusive"
190,Excited for the new restaurant opening! 🍃,Non-drug,"#relax, #life"
191,Looking for some 420? DM me for details 🍁,Drug-related,"#420, #exclusive"
192,Excited for the new restaurant opening! 💸,Non-drug,"#relax, #life"
193,"Limited exclusive available, get it before it's gone 💊",Drug-related,"#exclusive, #exclusive"
194,Just relaxing and enjoying the day 🚬,Non-drug,"#relax, #life"
195,"Limited 420 available, get it before it's gone 💰",Drug-related,"#420, #exclusive"
196,Exploring nature and living life to the fullest 🚬,Non-drug,"#relax, #life"
197,"Stocked up on product, get yours now! 💊",Drug-related,"#product, #exclusive"
198,"Best coffee in town, anyone else a fan? 🌿",Non-drug,"#relax, #life"
199,Looking for some green? DM me for details 💰,Drug-related,"#green, #exclusive"
200,"Best coffee in town, anyone else a fan? 🔥",Non-drug,"#relax, #life"
201,Ready to serve weed to my loyal clients 🚬,Drug-related,"#weed, #exclusive"
202,Nothing better than a good book and coffee 🌿,Non-drug,"#relax, #life"
203,Ready to serve product to my loyal clients 💊,Drug-related,"#product, #exclusive"
204,"Best coffee in town, anyone else a fan? 🌿",Non-drug,"#relax, #life"
205,"💊 Quality stash available, contact for more!",Drug-related,"#stash, #exclusive"
206,Just relaxing and enjoying the day 💸,Non-drug,"#relax, #life"
207,"💸 Quality weed available, contact for more!",Drug-related,"#weed, #exclusive"
208,Who else loves morning hikes? 🔥,Non-drug,"#relax, #life"
209,Anyone interested in some premium herb? 💊,Drug-related,"#herb, #exclusive"
210,Check out my latest travel post! 🍃,Non-drug,"#relax, #life"
211,"Stocked up on weed, get yours now! 🔥",Drug-related,"#weed, #exclusive"
212,Nothing better than a good book and coffee 💸,Non-drug,"#relax, #life"
213,"Limited weed available, get it before it's gone 🍁",Drug-related,"#weed, #exclusive"
214,Who else loves morning hikes? 🍁,Non-drug,"#relax, #life"
215,"Limited powder available, get it before it's gone 💊",Drug-related,"#powder, #exclusive"
216,Loving the weekend vibes! 💰,Non-drug,"#relax, #life"
217,Ready to serve coke to my loyal clients 🍃,Drug-related,"#coke, #exclusive"
218,Excited for the new restaurant opening! 💸,Non-drug,"#relax, #life"
219,Fresh stash in town! Hit me up 🍁,Drug-related,"#stash, #exclusive"
220,Nothing better than a good book and coffee 🌿,Non-drug,"#relax, #life"
221,"🌿 Quality ganja available, contact for more!",Drug-related,"#ganja, #exclusive"
222,"Best coffee in town, anyone else a fan? 🔥",Non-drug,"#relax, #life"
223,Ready to serve 420 to my loyal clients 🍃,Drug-related,"#420, #exclusive"
224,Loving the weekend vibes! 🚬,Non-drug,"#relax, #life"
225,"Stocked up on ganja, get yours now! 💊",Drug-related,"#ganja, #exclusive"
226,Excited for the new restaurant opening! 💰,Non-drug,"#relax, #life"
227,"💰 Quality product available, contact for more!",Drug-related,"#product, #exclusive"
228,Exploring nature and living life to the fullest 💰,Non-drug,"#relax, #life"
229,"💸 Only the best weed here, DM for info!",Drug-related,"#weed, #exclusive"
230,Check out my latest travel post! 💸,Non-drug,"#relax, #life"
231,Fresh exclusive in town! Hit me up 🚬,Drug-related,"#exclusive, #exclusive"
232,"Best coffee in town, anyone else a fan? 💊",Non-drug,"#relax, #life"
233,Fresh herb in town! Hit me up 🚬,Drug-related,"#herb, #exclusive"
234,"Best coffee in town, anyone else a fan? 🔥",Non-drug,"#relax, #life"
235,"Limited goods available, get it before it's gone 💊",Drug-related,"#goods, #exclusive"
236,Just relaxing and enjoying the day 🍃,Non-drug,"#relax, #life"
237,Anyone interested in some premium coke? 💸,Drug-related,"#coke, #exclusive"
238,"Best coffee in town, anyone else a fan? 💰",Non-drug,"#relax, #life"
239,Anyone interested in some premium 420? 💊,Drug-related,"#420, #exclusive"
240,Who else loves morning hikes? 💊,Non-drug,"#relax, #life"
241,"🚬 Only the best exclusive here, DM for info!",Drug-related,"#exclusive, #exclusive"
242,"Best coffee in town, anyone else a fan? 💰",Non-drug,"#relax, #life"
243,"💰 Quality green available, contact for more!",Drug-related,"#green, #exclusive"
244,Who else loves morning hikes? 🍁,Non-drug,"#relax, #life"
245,"Stocked up on product, get yours now! 🌿",Drug-related,"#product, #exclusive"
246,"Best coffee in town, anyone else a fan? 🔥",Non-drug,"#relax, #life"
247,"Limited stash available, get it before it's gone 🔥",Drug-related,"#stash, #exclusive"
248,Loving the weekend vibes! 💰,Non-drug,"#relax, #life"
249,"🍃 Quality herb available, contact for more!",Drug-related,"#herb, #exclusive"
250,"Best coffee in town, anyone else a fan? 💊",Non-drug,"#relax, #life"
251,Fresh weed in town! Hit me up 🍁,Drug-related,"#weed, #exclusive"
252,Loving the weekend vibes! 🍁,Non-drug,"#relax, #life"
253,"Limited green available, get it before it's gone 🌿",Drug-related,"#green, #exclusive"
254,Who else loves morning hikes? 💸,Non-drug,"#relax, #life"
255,"Stocked up on product, get yours now! 🔥",Drug-related,"#product, #exclusive"
256,Excited for the new restaurant opening! 🍃,Non-drug,"#relax, #life"
257,Ready to serve 420 to my loyal clients 🍃,Drug-related,"#420, #exclusive"
258,Exploring nature and living life to the fullest 🍁,Non-drug,"#relax, #life"
259,"🍃 Quality weed available, contact for more!",Drug-related,"#weed, #exclusive"
260,Excited for the new restaurant opening! 💰,Non-drug,"#relax, #life"
261,"🌿 Only the best coke here, DM for info!",Drug-related,"#coke, #exclusive"
262,Just relaxing and enjoying the day 🍃,Non-drug,"#relax, #life"
263,"Stocked up on 420, get yours now! 🌿",Drug-related,"#420, #exclusive"
264,Just relaxing and enjoying the day 🍁,Non-drug,"#relax, #life"
265,Anyone interested in some premium weed? 🍁,Drug-related,"#weed, #exclusive"
266,"Best coffee in town, anyone else a fan? 🚬",Non-drug,"#relax, #life"
267,"Stocked up on ganja, get yours now! 💸",Drug-related,"#ganja, #exclusive"
268,Check out my latest travel post! 🚬,Non-drug,"#relax, #life"
269,Fresh coke in town! Hit me up 🚬,Drug-related,"#coke, #exclusive"
270,Nothing better than a good book and coffee 🌿,Non-drug,"#relax, #life"
271,Anyone interested in some premium green? 💊,Drug-related,"#green, #exclusive"
272,Loving the weekend vibes! 🚬,Non-drug,"#relax, #life"
273,Fresh exclusive in town! Hit me up 💊,Drug-related,"#exclusive, #exclusive"
274,"Best coffee in town, anyone else a fan? 💰",Non-drug,"#relax, #life"
275,"Stocked up on 420, get yours now! 💰",Drug-related,"#420, #exclusive"
276,Check out my latest travel post! 🍃,Non-drug,"#relax, #life"
277,"💸 Only the best dope here, DM for info!",Drug-related,"#dope, #exclusive"
278,Excited for the new restaurant opening! 🚬,Non-drug,"#relax, #life"
279,"Stocked up on herb, get yours now! 🍁",Drug-related,"#herb, #exclusive"
280,Who else loves morning hikes? 🔥,Non-drug,"#relax, #life"
281,Fresh herb in town! Hit me up 🔥,Drug-related,"#herb, #exclusive"
282,Who else loves morning hikes? 🔥,Non-drug,"#relax, #life"
283,Fresh goods in town! Hit me up 💰,Drug-related,"#goods, #exclusive"
284,Just relaxing and enjoying the day 💊,Non-drug,"#relax, #life"
285,"Limited powder available, get it before it's gone 💰",Drug-related,"#powder, #exclusive"
286,Loving the weekend vibes! 💊,Non-drug,"#relax, #life"
287,"Stocked up on ganja, get yours now! 💸",Drug-related,"#ganja, #exclusive"
288,"Best coffee in town, anyone else a fan? 🚬",Non-drug,"#relax, #life"
289,"Stocked up on stash, get yours now! 💰",Drug-related,"#stash, #exclusive"
290,Excited for the new restaurant opening! 💰,Non-drug,"#relax, #life"
291,"Stocked up on powder, get yours now! 🌿",Drug-related,"#powder, #exclusive"
292,Just relaxing and enjoying the day 🚬,Non-drug,"#relax, #life"
293,"🔥 Only the best dope here, DM for info!",Drug-related,"#dope, #exclusive"
294,Just relaxing and enjoying the day 💊,Non-drug,"#relax, #life"
295,"Stocked up on goods, get yours now! 🍁",Drug-related,"#goods, #exclusive"
296,Who else loves morning hikes? 💸,Non-drug,"#relax, #life"
297,"Stocked up on ganja, get yours now! 💰",Drug-related,"#ganja, #exclusive"
298,Exploring nature and living life to the fullest 💸,Non-drug,"#relax, #life"
299,"🍁 Only the best 420 here, DM for info!",Drug-related,"#420, #exclusive"
300,Excited for the new restaurant opening! 🍁,Non-drug,"#relax, #life"
301,Anyone interested in some premium coke? 🌿,Drug-related,"#coke, #exclusive"
302,Who else loves morning hikes? 🍃,Non-drug,"#relax, #life"
303,Fresh goods in town! Hit me up 🚬,Drug-related,"#goods, #exclusive"
304,"Best coffee in town, anyone else a fan? 💸",Non-drug,"#relax, #life"
305,Anyone interested in some premium goods? 🔥,Drug-related,"#goods, #exclusive"
306,Loving the weekend vibes! 🍃,Non-drug,"#relax, #life"
307,Fresh powder in town! Hit me up 🌿,Drug-related,"#powder, #exclusive"
308,Nothing better than a good book and coffee 🍁,Non-drug,"#relax, #life"
309,"💸 Quality weed available, contact for more!",Drug-related,"#weed, #exclusive"
310,"Best coffee in town, anyone else a fan? 🌿",Non-drug,"#relax, #life"
311,Ready to serve exclusive to my loyal clients 💰,Drug-related,"#exclusive, #exclusive"
312,Just relaxing and enjoying the day 🍃,Non-drug,"#relax, #life"
313,"Stocked up on ganja, get yours now! 💸",Drug-related,"#ganja, #exclusive"
314,Nothing better than a good book and coffee 🌿,Non-drug,"#relax, #life"
315,Anyone interested in some premium weed? 🚬,Drug-related,"#weed, #exclusive"
316,Excited for the new restaurant opening! 💰,Non-drug,"#relax, #life"
317,Looking for some 420? DM me for details 🌿,Drug-related,"#420, #exclusive"
318,Nothing better than a good book and coffee 💸,Non-drug,"#relax, #life"
319,"💰 Only the best dope here, DM for info!",Drug-related,"#dope, #exclusive"
320,Loving the weekend vibes! 🔥,Non-drug,"#relax, #life"
321,"Limited weed available, get it before it's gone 🌿",Drug-related,"#weed, #exclusive"
322,Excited for the new restaurant opening! 🌿,Non-drug,"#relax, #life"
323,Looking for some product? DM me for details 💰,Drug-related,"#product, #exclusive"
324,Check out my latest travel post! 🌿,Non-drug,"#relax, #life"
325,"Limited weed available, get it before it's gone 🍁",Drug-related,"#weed, #exclusive"
326,Check out my latest travel post! 🍁,Non-drug,"#relax, #life"
327,Ready to serve stash to my loyal clients 🍃,Drug-related,"#stash, #exclusive"
328,Loving the weekend vibes! 🔥,Non-drug,"#relax, #life"
329,Anyone interested in some premium coke? 🔥,Drug-related,"#coke, #exclusive"
330,Nothing better than a good book and coffee 💸,Non-drug,"#relax, #life"
331,"🔥 Only the best ganja here, DM for info!",Drug-related,"#ganja, #exclusive"
332,Check out my latest travel post! 💸,Non-drug,"#relax, #life"
333,"🍃 Only the best herb here, DM for info!",Drug-related,"#herb, #exclusive"
334,Nothing better than a good book and coffee 💰,Non-drug,"#relax, #life"
335,"🍃 Only the best powder here, DM for info!",Drug-related,"#powder, #exclusive"
336,Nothing better than a good book and coffee 🚬,Non-drug,"#relax, #life"
337,"Limited stash available, get it before it's gone 🚬",Drug-related,"#stash, #exclusive"
338,Loving the weekend vibes! 🌿,Non-drug,"#relax, #life"
339,Looking for some ganja? DM me for details 💊,Drug-related,"#ganja, #exclusive"
340,Check out my latest travel post! 💸,Non-drug,"#relax, #life"
341,Ready to serve weed to my loyal clients 🚬,Drug-related,"#weed, #exclusive"
342,Loving the weekend vibes! 🚬,Non-drug,"#relax, #life"
343,Anyone interested in some premium coke? 🌿,Drug-related,"#coke, #exclusive"
344,Who else loves morning hikes? 💸,Non-drug,"#relax, #life"
345,Looking for some coke? DM me for details 🍁,Drug-related,"#coke, #exclusive"
346,Excited for the new restaurant opening! 🍁,Non-drug,"#relax, #life"
347,"🔥 Quality ganja available, contact for more!",Drug-related,"#ganja, #exclusive"
348,Check out my latest travel post! 🌿,Non-drug,"#relax, #life"
349,Anyone interested in some premium 420? 🍃,Drug-related,"#420, #exclusive"
350,Exploring nature and living life to the fullest 🍃,Non-drug,"#relax, #life"
351,Fresh exclusive in town! Hit me up 🍃,Drug-related,"#exclusive, #exclusive"
352,Loving the weekend vibes! 💸,Non-drug,"#relax, #life"
353,"Limited stash available, get it before it's gone 💊",Drug-related,"#stash, #exclusive"
354,Who else loves morning hikes? 🍃,Non-drug,"#relax, #life"
355,"💰 Quality herb available, contact for more!",Drug-related,"#herb, #exclusive"
356,Just relaxing and enjoying the day 🔥,Non-drug,"#relax, #life"
357,Ready to serve weed to my loyal clients 💊,Drug-related,"#weed, #exclusive"
358,Just relaxing and enjoying the day 💰,Non-drug,"#relax, #life"
359,"🍁 Quality powder available, contact for more!",Drug-related,"#powder, #exclusive"
360,"Best coffee in town, anyone else a fan? 🌿",Non-drug,"#relax, #life"
361,Looking for some weed? DM me for details 💰,Drug-related,"#weed, #exclusive"
362,Just relaxing and enjoying the day 🔥,Non-drug,"#relax, #life"
363,Anyone interested in some premium goods? 🌿,Drug-related,"#goods, #exclusive"
364,Who else loves morning hikes? 🔥,Non-drug,"#relax, #life"
365,Fresh coke in town! Hit me up 💸,Drug-related,"#coke, #exclusive"
366,Nothing better than a good book and coffee 💰,Non-drug,"#relax, #life"
367,Fresh 420 in town! Hit me up 🔥,Drug-related,"#420, #exclusive"
368,Who else loves morning hikes? 💰,Non-drug,"#relax, #life"
369,Anyone interested in some premium goods? 🌿,Drug-related,"#goods, #exclusive"
370,Excited for the new restaurant opening! 💊,Non-drug,"#relax, #life"
371,Looking for some exclusive? DM me for details 💰,Drug-related,"#exclusive, #exclusive"
372,Just relaxing and enjoying the day 🔥,Non-drug,"#relax, #life"
373,"Limited product available, get it before it's gone 🍃",Drug-related,"#product, #exclusive"
374,Just relaxing and enjoying the day 🔥,Non-drug,"#relax, #life"
375,"Limited goods available, get it before it's gone 💊",Drug-related,"#goods, #exclusive"
376,Excited for the new restaurant opening! 🚬,Non-drug,"#relax, #life"
377,"🔥 Quality goods available, contact for more!",Drug-related,"#goods, #exclusive"
378,Just relaxing and enjoying the day 💰,Non-drug,"#relax, #life"
379,Anyone interested in some premium 420? 💸,Drug-related,"#420, #exclusive"
380,Check out my latest travel post! 🍃,Non-drug,"#relax, #life"
